ОКЕАН|Большое водное пространство
АКВАРИУМ|Стеклянный контейнер для содержания водных животных
СОБАКА|Домашнее животное, верный друг человека
КОРМ|Пища для животных
ЛЕВ|Животное, символизирующее силу и могущество
КЛЕТКА|Место, где содержатся домашние животные
МУРАВЕЙ|Мелкое насекомое, образующее большие колонии
ПЧЕЛА|Насекомое, производящее мед
ЗАМОК|Устройство для запирания чего-либо на ключ
ПОЛЕ|Открытая территория с травой или другими растениями
МУХА|Насекомое, часто присутствующее вокруг еды
МЕД|Продукт, производимый пчелами
КОТ|Домашнее животное, которое ловит мышей
ЗЕБРА|Животное с черно-белыми полосками
КРОКОДИЛ|Крупное пресмыкающееся с длинными челюстями
УТКА|Водоплавающая птица с плоским клювом
КИТ|Самое крупное млекопитающее, живущее в океане
РЫСЬ|Хищное животное из семейства кошачьих
СЛОН|Самое крупное сухопутное животное
ЛОСЬ|Крупное лесное животное с большими рогами
ТИГР|Хищное животное с полосатым мехом
МЕДВЕДЬ|Крупное лесное животное с густым мехом
