ОКЕАН|Большое водное пространство
АКВАРИУМ|Стеклянный контейнер для содержания водных животных
СОБАКА|Домашнее животное, верный друг человека
КОРМ|Пища для животных
ЛЕВ|Животное, символизирующее силу и могущество
КЛЕТКА|Место, где содержатся домашние животные
МУРАВЕЙ|Мелкое насекомое, образующее большие колонии
ПЧЕЛА|Насекомое, производящее мед
ЗАМОК|Устройство для запирания чего-либо на ключ
ПОЛЕ|Открытая территория с травой или другими растениями
МУХА|Насекомое, часто присутствующее вокруг еды
МЕД|Продукт, производимый пчелами
КОТ|Домашнее животное, которое ловит мышей
ЗЕБРА|Животное с черно-белыми полосками
КРОКОДИЛ|Крупное пресмыкающееся с длинными челюстями
УТКА|Водоплавающая птица с плоским клювом
КИТ|Самое крупное млекопитающее, живущее в океане
РЫСЬ|Хищное животное из семейства кошачьих
СЛОН|Самое крупное сухопутное животное
ЛОСЬ|Крупное лесное животное с большими рогами
ТИГР|Хищное животное с полосатым мехом
МЕДВЕДЬ|Крупное лесное животное с густым мехом
ВОЛК|Хищное животное, живущее в стае
ОРЕЛ|Птица с мощными когтями и клювом
ЛИСА|Хитрое животное с рыжей шерстью
КАБАН|Дикое свиноподобное животное
БАРС|Снежный леопард, обитающий в горах
СОЙКА|Птица с ярким оперением
КРАБ|Морское животное с клешнями
СОВА|Ночная птица с большими глазами
ПЕЛИКАН|Птица с большим клювом и мешком под ним
ПАВЛИН|Птица с красивыми разноцветными перьями
КОСУЛЯ|Лесное животное с изящными рогами
ГИЕНА|Хищное животное, известное своим смехом
ЯГУАР|Хищное животное с пятнистым мехом
ЛЕОПАРД|Хищное животное с пятнистым мехом
ШАКАЛ|Хищное животное, живущее в стае
ИГЛА|Инструмент для шитья с ушком для нити
КАМЕНЬ|Твёрдое минеральное вещество
РЕКА|Естественный водный поток
ЗВЕЗДА|Небесное тело, светящееся ночью
ГОРЫ|Высокие природные возвышенности
СОЛНЦЕ|Главная звезда нашей планетной системы
ЛЕС|Большая территория, покрытая деревьями
ЦВЕТОК|Растение с красивыми лепестками
ПЛАНЕТА|Небесное тело, вращающееся вокруг звезды
НЕБО|Пространство над землёй, видимое в любой точке мира
ПЕСОК|Мелкие частицы горных пород
ГРОЗА|Метеорологическое явление с громом и молнией
СНЕГ|Осадки в виде белых ледяных кристаллов
ЛУНА|Спутник Земли, светящий ночью
ДУГА|Часть окружности
ВОЛНА|Колебание воды, вызванное ветром или движением
ТУЧА|Скопление водяных капель в атмосфере
ГРАД|Осадки в виде льдинок
БУРЯ|Сильный ветер с дождём или снегом
СМЕРЧ|Вихрь с вращающимся столбом воздуха
РАДУГА|Оптическое явление в виде разноцветной дуги на небе
ЗАСУХА|Длительный период без дождей
МОРОЗ|Низкая температура, замерзание воды
МЕТЕЛЬ|Сильный снегопад с ветром
ДОЖДЬ|Осадки в виде капель воды
СНЕГОПАД|Интенсивное выпадение снега
ВЕТЕР|Поток воздуха, перемещающийся по земной поверхности
ТУМАН|Скопление мельчайших капель воды в воздухе
ЖАРА|Высокая температура воздуха
ЗАВИХРЕНИЕ|Движение воздуха или воды по спирали
